中文,英语,印尼语,西班牙语,阿语,,,,
登录注册页,,,,,,,,
登录,Log in,Login,Iniciar,تسجيل الدخول,,,,
注册,Sign up,Daftar,Registrarse,التسجيل,,,,
输入手机号,Please enter phone number,Masukkan nomor telepon,Escriba número de teléfono por favor,الرجاء إدخال رقم الهاتف,,,,
请输入密码,Please enter password,Masukkan kata sandi,Escriba la contraseña por favor,الرجاء إدخال كلمة المرور,,,,
立即注册,Register now,Daftar segera,Regístrese ahora,تسجيل الان,,,,
忘记密码？,Forget password?,Lupakan kata sandi,¿Contraseña olvidada?,هل نسيت كلمة المرور؟,,,,
选择国家/地区,Select country/region,Memilih negara/wilasah,Seleccione el país/región,اختر البلد / المنطقة,,,,
验证码,Verification code,Kode verifikasi,Código de verificación,رمز التحقق,,,,
发送,Send,Kirim ,Enviar,ارسل,,,,
请输入新密码,Please enter new password,Silahkan masukan kata sandi baru ,Escriba la contraseña nueva por favor,الرجاء إدخال كلمة المرور الجديدة,,,,
重置密码,Reset password,Mengubah kata sandi,Restablecer contraseña,إعادة تعيين كلمة المرور,,,,
请输入昵称,Please enter nickname,Silahkan masukkan nama panggilan,Escriba el apodo por favor,الرجاء إدخال الاسم,,,,
女,Female,Perempuan,Chica,أنثى,,,,
男,Male,Pria,Chico,ذكر,,,,
确认后不得更改性别,You may not  change  the gender after  confirmation,Anda tidak bisa mengubah jenis kelamin setelah konfirmasi,No se puede cambiar el género después de la confirmación,لا تستطيع تغيير الجنس بعد التأكيد,,,,
下一步,Next,Lanjutkan,Siguiente,,,,,
国家/地区,Country / Region,Nagara/wilayah,País/Región,البلد / المنطقة,,,,
选择,Choose,Pilih ,Elegir,اختر,,,,
ok,OK,OK,OK,OK,,,,
首页,尽量翻译短一点,首字母大写,,,,,,
首页,Room,Beranda,Habitación,غرفة,,,,
发现,Discover,Temukan,Descubrir,اكتشاف,,,,
消息,Message,Pesan,Mensajes,رسالة,,,,
我的,Me,Saya,Yo,انا,,,,
热门,Hot,Hot ,Hot,محبب,,,,
推荐,Recommend,Rekmendasi,Recomendar,توصية,,,,
三人房,3 Seats,3 Kursi,3 Asientos,3 مقاعد,,,,
七人房,7 Seats,7 Kursi,7 Asientos,7 مقاعد,,,,
单人房,Single ,1 Kursi,1 Asientos,1 مقعد,,,,
%s 等 %s 人正在直播中,,%dan% sedang siaran,,,,,,
直播中,Living,Sedang siaran,Transmisión en vivo,بث,,,,
更多精彩直播,More exciting live,Siaran yg lebih banyak,Más emocionante en vivo,بث أكثر إثارة,,,,
翻转,Turn over,Balik,Voltear,تقليب,,,,
房间标题,Room topic,Topik ruangan,Tema de la sala,موضوع الغرفة,,,,
好的标题能让更多人看见你,Nice topic can let more user find you,Topik yang bagus dapat membuat lebih banyak pengguna menemukan anda,Un buen tema puede permitir que más usuarios te encuentren,موضوع لطيف يمكن أن تسمح للمستخدمين أكثر تجد لك,,,,
直播,Live,Siaran,Transmisión en vivo,بث,,,,
我已阅读并同意《xxx协议》,I have read and agree to the《xxx agreement》 ,Saya sudah membaca dan menyetujui《Perjanjian xxx》,He leído y acepto el 《acuerdo xxx》 ,لقد قرأت ووافقت على 《xxx الاتفاقية》,,,,
美颜,Beauty,Beauty,Beauty,تجميل,,,,
滤镜,Filter,Filter,Filter,تصفية,,,,
美白,Whitening,Whitening,Whitening,تبييض,,,,
磨皮,Buffing,Buffing,Buffing,صقل,,,,
瘦脸,Thin face,Thin face,Thin face,وجه رقيق,,,,
大眼,Big eyes,Big eyes,Big eyes,عيون كبيرة,,,,
